Total organizations in database: 222
======================================================================
ID     Employees  Has Address  Name
----------------------------------------------------------------------
150    3          YES          ACB (India) Limited
128    0          YES          Adani Green Energy Twenty Five A Limited -PSS3
129    0          YES          Adani Green Energy Twenty Five B Limited -PSS3
130    0          YES          Adani Green Energy Twenty Four A Limited -PSS3
145    0          YES          Adani Green Energy Twenty Four Limited - PSS-4
126    2          YES          Adani Green Energy Twenty Six A Limited -PSS3
127    1          YES          Adani Green Energy Twenty Six B Limited -PSS3
136    0          YES          Adani Hazira Port Limited-PSS3
144    0          YES          Adani Hybrid Energy Jaisalmer Five Limited -PSS4
147    0          YES          Adani Portsand Special Economic Zone Limited -PSS3
146    0          YES          Adani Portsand Special Economic Zone Limited -PSS4
154    7          YES          Adani Power (Mundra) Limited
181    5          YES          Adani Power Limited
172    5          YES          Adani Power Limited - Raipur
155    5          no           ADANI POWER LIMITED, TIRODA
131    0          YES          Adani Renewable Energy Fifty Five Limited - PSS3
133    0          YES          Adani Renewable Energy Fifty Seven Limited PSS-13
142    0          YES          Adani Renewable Energy Fifty Six Limited - PSS 9
138    0          YES          Adani Renewable Energy Fifty Six Limited - PSS4
137    1          YES          Adani Renewable Energy Forty Eight Limited-PSS9
141    0          YES          Adani Renewable Energy Forty One Limited - PSS 4
140    0          YES          Adani Renewable Energy Forty One Limited - PSS3
132    1          YES          Adani Renewable Energy Forty One Limited PSS-13
139    1          YES          Adani Renewable Energy Holding Four Limited-PSS1
143    0          YES          Adani Solar Energy Jodhpur Six Private Limited- PSS 9
95     0          YES          Adani Wind Energy Kutch Five Limited
103    4          no           Adani Wind Energy Kutch Four Limited
78     5          YES          Adani Wind Energy Kutch One Limited / AWEKTL / AWEKFL
94     5          YES          Adani Wind Energy Kutch Three Limited
102    5          YES          Adani Wind Energy MP One Private Limited
85     5          YES          Alfanar Energy Private Limited
105    3          YES          Alfanar Netra Wind Private Limited
51     1          no           Ambazari, Nagpur
135    0          YES          Ambuja Cements Limited-PSS - 3
134    1          YES          Ambuja Cements Limited -PSS-4
224    1          no           AMC (WBES)
182    2          YES          AMNS ( Essar ) Power Transmission Company Limited
104    4          YES          Apraava Energy Private Limited (AEPL)
207    7          YES          ArcelorMittal Nippon Steel India Limited
79     4          YES          Arinsun Clean Energy Private Limited
183    4          no           Asset Management, Mumbai
77     5          YES          Athena Jaipur Solar Power Private Limited
125    0          YES          AVAADA SUNSHINE ENERGY PRIVATE LIMITED
97     4          YES          Avikaran Solar India Private Limited
208    7          YES          BARC Facility
21     3          no           Bargi
124    2          YES          BEEMPOW ENERGY PRIVATE LIMITED
156    11         YES          Bharat Aluminum Company Limited
36     1          no           Bhira
22     3          no           Birshingpur
18     2          no           Black Start Facilitated Stations
184    2          no           Central Control Room, Noida
151    1          no           Chakabura 2x30 MW Thermal Power Plant
43     0          no           CHHATTISGARH
201    0          YES          Chhattisgarh-WR Transmission Limited
215    1          no           Chhattisgarh SLDC
56     22         YES          Chhattisgarh State Load Despatch Centre
8      5          no           CHHATTISGARH STATE LOAD DESPATCH CENTRE
87     6          YES          Continuum Power Trading Private Limited
121    0          no           Corporate Headquarters, Shakti Sadan, Shanan, Shimla, HP, 171006
180    4          no           Corporate Office-Gurgaon
160    3          YES          D GEN Mega Power Project
60     8          no           Dadraand Nagar Haveli
59     5          no           Daman and Diu
158    5          YES          DB Power Limited
161    4          YES          Dhariwal Infrastructure Limited
32     2          no           Dhuvaran
162    8          YES          Dongamouha Captive Power Plant (DCPP)
14     1          no           Eastern Regional Load Despatch Centre , Kolkata
89     4          no           Electro Solaire Private Limited
227    2          no           Forest Department
47     3          no           Gandhar
19     1          no           Gandhi Sagar
220    6          YES          GE T&D (SCADA & EMS)
38     2          no           Ghatghar
31     3          no           GIPCL 1 & 2
164    4          YES          GMR Warora Energy Limited
216    1          no           Goa
58     33         YES          Goa Electricity Department
192    1          no           Goa Tamnar Transmission Project Limited
80     5          YES          Green Infra Wind Energy Limited SECI -II & SECI -II
3      2          no           GRID CONTROLLER OF INDIA LIMITED
27     0          no           GUJARAT
88     5          YES          Gujarat Industries Power Company Limited
217    2          no           Gujarat SLDC
96     4          YES          Gujarat State Electricity Corporation Limited
111    0          YES          Gujarat State Electricity Corporation Limited- Phase II
52     15         YES          Gujarat State Load Despatch Centre
6      2          no           GUJARAT STATE LOAD DESPATCH CENTRE
44     2          no           Hasdeo Bango
190    2          no           Head Office, Gurugram
209    2          YES          Heavy Water Board
81     8          YES          INOX Green Energy Services Limited
226    1          no           IT Support Engineersat WRLDC
185    0          no           Jabalpur Transmission Co. Ltd (JTCL)
206    0          YES          Jam Khambaliya Transco Limited
165    7          YES          Jhabua Power Limited
166    0          YES          Jindal Power Limited
30     1          no           Kadana
75     7          YES          Kakrapar Atomic Power Station Stg- 1 & 2
76     9          YES          Kakrapar Atomic Power Station Stg-3 & 4
195    0          YES          Kallam Transmission Limited
50     15         no           Kalwa, Thane-Belapur
46     3          no           Kawas
