id,station,field,old_value,proposed_new_value,signals_detected,reason,timestamp
7673,Maharashtra 17. Khopoli & Bhivpuri,name,Maharashtra 17. Khopoli & Bhivpuri,,contains city/state name(s): maharashtra,Flagged for review -- no unambiguous split point found; needs manual judgment,2026-08-26
7685,Shift In Charge (SLDC Gujarat),name,Shift In Charge (SLDC Gujarat),,contains city/state name(s): gujarat,Flagged for review -- no unambiguous split point found; needs manual judgment,2026-08-26
7688,"Sankalp Velip, GE Alstom, Cuncolim (Back Up Control Room)",name,"Sankalp Velip, GE Alstom, Cuncolim (Back Up Control Room)",,2 commas (address-list structure),Flagged for review -- no unambiguous split point found; needs manual judgment,2026-08-26
7719,Gujarat Industries Power Company Limited,name,Gujarat Industries Power Company Limited,,contains city/state name(s): gujarat,Flagged for review -- no unambiguous split point found; needs manual judgment,2026-08-26
7727,Gujarat State Electricity Corporation Limited,name,Gujarat State Electricity Corporation Limited,,contains city/state name(s): gujarat,Flagged for review -- no unambiguous split point found; needs manual judgment,2026-08-26
7739,Sherisha Raipur,name,Sherisha Raipur,,contains city/state name(s): raipur,Flagged for review -- no unambiguous split point found; needs manual judgment,2026-08-26
7744,Gujarat State Electricity Corporation Limited- Phase II,name,Gujarat State Electricity Corporation Limited- Phase II,,contains city/state name(s): gujarat,Flagged for review -- no unambiguous split point found; needs manual judgment,2026-08-26
7835,"SCE, CHPH, Control Room",name,"SCE, CHPH, Control Room",,2 commas (address-list structure),Flagged for review -- no unambiguous split point found; needs manual judgment,2026-08-26
7836,"EMC, Control Room, Indore",name,"EMC, Control Room, Indore",,2 commas (address-list structure); contains city/state name(s): indore,Flagged for review -- no unambiguous split point found; needs manual judgment,2026-08-26
7862,RTAMC Nagpur,name,RTAMC Nagpur,,contains city/state name(s): nagpur,Flagged for review -- no unambiguous split point found; needs manual judgment,2026-08-26
7859,Control Room 1 : State Load Despatch Centre Chhattisgarh,name,Control Room 1 : State Load Despatch Centre Chhattisgarh,,contains 'State Load Despatch Centre' / 'Load Despatch Centre'; contains city/state name(s): chhattisgarh,Flagged for review -- no unambiguous split point found; needs manual judgment,2026-08-26
7860,"Control Room 2 : Backup State Load Despatch Centre, Chhattisgarh (Khedamara, Bhilai)",name,"Control Room 2 : Backup State Load Despatch Centre, Chhattisgarh (Khedamara, Bhilai)",,"2 commas (address-list structure); contains 'Backup'; contains 'State Load Despatch Centre' / 'Load Despatch Centre'; contains city/state name(s): chhattisgarh, bhilai; unusually long name (84 chars)",Flagged for review -- no unambiguous split point found; needs manual judgment,2026-08-26
