organization,rows_applied
Wind One Renergy Limited,8
Wind Three Renergy Limited,8
Wind Five Renergy Limited,8
DB Power Limited,8
Dongamouha Captive Power Plant (DCPP),8
KSK Mahanadi Power Company Limited (JSW Energy),8
INOX Green Energy Services Limited,8
Tarapur Atomic Power Station Stg-3 & 4,8
Adani Power (Mundra) Limited,7
The Tata Power Co Limited Mundra (MTPS),7
Jhabua Power Limited,7
Jindal Power Limited,7
Arcelormittal Nippon Steel India Limited,7
Tarapur Atomic Power Station Stg-1 & 2,7
Kakrapar Atomic Power Station Stg-1 & 2,7
Madhya Pradesh State Load Despatch Centre,6
Wind Two Renergy Private Limited,6
ACB (India) Limited,6
BARC Facility,6
SSP,6
Dadra And Nagar Haveli,5
Qualified Coordinating Agency,5
UKAI,5
Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL,5
Adani Wind Energy Kutch Three Limited,5
Adani Wind Energy Kutch Five Limited,5
Adani Wind Energy MP One Private Limited,5
Adani Wind Energy Kutch Four Limited,5
Alfanar Netra Wind Private Limited,5
Sherisha Raipur,5
NTPC Gadarwara,5
NTPC Kawas,5
"Adani Power Limited, Tiroda",5
SASAN Power Limited,5
NTPC Vidyut Vyapar Nigam Limited,5
Green Infra Wind Energy Limited SECI –II & SECI -II,5
Ostro Kutch Wind Private Limited,5
Renew Power Limited,5
Alfanar Energy Private Limited,5
Renew Wind Energy (AP2) Private Limited,5
Adani Power Limited,5
Daman And Diu,4
NTPC Mumbai Head Quarter (WR-1),4
NTPC Raipur Head Quarter (WR-2),4
"POWERGRID WRTS-I, Nagpur",4
Tata Power Renewable Energy Ltd.,4
Athena Jaipur Solar Power Private Limited,4
Ostro Energy Private Limited,4
Gujarat State Electricity Corporation Limited,4
Avikaran Solar India Private Limited,4
Sitac Kabini Renewables Private Limited,4
Apraava Energy Private Limited (AEPL),4
Gujarat State Electricity Corporation Limited- Phase II,4
NTPC Mauda,4
NTPC Khargone,4
TP Saurya Limited Unit-1,4
TP Saurya Limited Unit-2,4
NTPC Solapur,4
Dhariwal Infrastructure Limited,4
Mahan Energen Limited (Formally Essar Power (MP) Limited,4
GMR Warora Energy Limited,4
Arinsun Clean Energy Private Limited,4
Continuum Power Trading Private Limited,4
Gujarat Industries Power Company Limited,4
Sterlite Power Transmission Limited,4
Bargi,3
MP Power Management CO. LTD.,3
Manikheda,3
Rajghat,3
Uran,3
"POWERGRID WRTS-II, Vadodara",3
NTPC Kawas Solar PV Project,3
Madhya Pradesh Power Generation Company Limited,3
Solapur Solar PV Project,3
NTPC Korba,3
NTPC Lara,3
NTPC Sipat,3
NTPC Vindhyachal,3
Adani Renewable Energy Fifty Five Limited - PSS3,3
Adani Renewable Energy Forty One Limited PSS-13,3
Adani Renewable Energy Fifty Seven Limited PSS-13,3
Adani Renewable Energy Forty Eight Limited-PSS9,3
Adani Renewable Energy Fifty Six Limited – PSS4,3
Adani Renewable Energy Holding Four Limited-PSS1,3
Adani Green Energy Twenty Six A Limited -PSS3,3
Adani Green Energy Twenty Six B Limited -PSS3,3
Adani Green Energy Twenty Five A Limited -PSS3,3
Adani Green Energy Twenty Five B Limited -PSS3,3
Adani Green Energy Twenty Four A Limited -PSS3,3
Ambuja Cements Limited -PSS-4,3
Ambuja Cements Limited-PSS-3,3
Adani Hazira Port Limited-PSS3,3
Adani Solar Energy Jodhpur Six Private Limited- PSS9,3
Adani Hybrid Energy Jaisalmer Five Limited -PSS4,3
Adani Green Energy Twenty Four Limited – PSS-4,3
Adani Ports And Special Economic Zone Limited -PSS4,3
Adani Renewable Energy Forty One Limited - PSS3,3
Adani Renewable Energy Forty One Limited – PSS4,3
Adani Renewable Energy Fifty Six Limited – PSS9,3
SKS Power Generation (C.G) Limited,3
Mahindra Renewables Private Limited,3
Tata Power Mumbai,3
Gandhar,3
Adani Ports And Special Economic Zone Limited -PSS3,3
Avaada Gjlakadiya Private Limited,3
Indira Sagar,2
Pench,2
Birshingpur,2
Tons,2
GIPCL 1 & 2,2
Dhuvaran,2
Sugen,2
Bhira,2
"Koyna, Pophali",2
Ghatghar,2
Trombay,2
NTPC Jhanor - Gandhar Solar PV Project,2
AVAADA Sunshine Energy Private Limited,2
LANCO Amarkantak Power Limited,2
NTPC Gandhar,2
AMNS (Essar) Power Transmission Company Limited,2
Rajgarh Transmission Limited,2
Maharashtra State Load Despatch Centre,1
Chhattisgarh State Load Despatch Centre,1
Gandhi Sagar,1
Omkareshwar,1
Kadana,1
Mini Hydro,1
Khopoli & Bhivpuri,1
Paithan,1
Srijan Energy Systems Private Limited,1
Beempow Energy Private Limited,1
Jaypee Nigrie STPP,1
Heavy Water Board,1
