id,station,field,raw_value,detected_repeat_count
7653,Control Room,phone_number,9869281317 Fax No. 022- 28202693/30 / 9869281317 Fax No. 022- 28202693/30 / 9320399988 8356846298,2
7659,2. Gandhi Sagar,phone_number,"07427-239118/237256, 237212, 9425805340 / 07427-239118/237256, 237212, 9425805340 / 07427-239118/237256, 237212, 9425805340",3
7660,5. Birshingpur,phone_number,07655-262428 / 07655-262428 / 07655-262428,3
7665,Control Room,phone_number,RBPH 02640-232101/232565 / RBPH 02640-232101/232565 / 9426644701,2
7666,12. Kadana,phone_number,02675-237554/ 9925213774/9979889925 / 02675-237554/ 9925213774/9979889925 / 02675-237554/ 9925213774/9979889925,3
7667,13. GIPCL 1 & 2,phone_number,"02652230182, 02652230183 Fax No. 0265-2231822 / 02652230182, 02652230183 Fax No. 0265-2231822 / 9909035317",2
7671,Control Room Office,phone_number,02621-661664/Fax No. 02621 - 661654 / 02621-661664/Fax No. 02621 - 661654 / 02621-661664/Fax No. 02621 - 661654,3
7672,Control Room,phone_number,02624-233510 / 02624-233510 / 9712921574,2
7673,Maharashtra 17. Khopoli & Bhivpuri,phone_number,022-66687091 / 022-25543331 / 022 - 67175377 Fax - 022-67175385 / 022-66687091 / 022-25543331 / 022 - 67175377 Fax - 022-67175385 / 022-66687091 / 022-25543331 / 022 - 67175377 Fax - 022-67175385,3
7674,18. Bhira,phone_number,022-66687091 / 022-25543331 / 022 - 67175377 Fax - 022-67175385 / 022-66687091 / 022-25543331 / 022 - 67175377 Fax - 022-67175385 / 022-66687091 / 022-25543331 / 022 - 67175377 Fax - 022-67175385,3
7675,"19. Koyna, Pophali",phone_number,Control Room / Control Room / 8408880569 / 02355235005 / 02355235311,2
7676,20.Ghatghar,phone_number,02527-235310/311 8411956540 / 8411006637/ 8411956542 / 02527-235310/311 8411956540 / 8411006637/ 8411956542 / 02527-235310/311 8411956540 / 8411006637/ 8411956542,3
7678,22. RGPPL,phone_number,02359-241120 / 02359-241120 / 8007060703,2
7680,24. Uran,phone_number,8879620047/ 48/ 49 & 022-27222235 / 8879620047/ 48/ 49 & 022-27222235 / 09930144837,2
7686,Control Room ( SLDC ),phone_number,0761 - 2970601/0761-2668586/2706800 0761-2664343/2660015 / 0761 - 2970601/0761-2668586/2706800 0761-2664343/2660015 / 9425806598,2
7689,SLDC Control Room1,phone_number,0832-2711813 / 0832-2711813 / 8380015202,2
7690,SLDC Control Room2,phone_number,0832-2701857 / 0832-2701857 / 8380015202,2
7691,Control Room,phone_number,9909976436 / 9909976436 / 9909976436,3
7694,Control Room,phone_number,0261-2860375 FAX 0261- 2861428 / 0261-2860375 FAX 0261- 2861428 / 9426810249,2
7695,Control Room,phone_number,7588184339/ 8275045123 / 7588184339/ 8275045123 / 7588184339/ 8275045123,3
7696,Control Room,phone_number,"0217-2252611/ 2461301, 2461303 Fax: 0217-2252580/ 2252280 / 0217-2252611/ 2461301, 2461303 Fax: 0217-2252580/ 2252280 / 0217-2252611/ 2461301, 2461303 Fax: 0217-2252580/ 2252280",3
7699,Control Room,phone_number,07759-237529 07759-237440/ 022- 28306068 (F) / 07759-237529 07759-237440/ 022- 28306068 (F) / 9424141909/ 9004497000,2
7700,Control Room,phone_number,09109179793 / 09109179793 / 09109179793,3
7701,Control Room,phone_number,07752-277660/ 246545/ 246587 / 07752-277660/ 246545/ 246587 / 07752-277660/ 246545/ 246587; 9424140682,3
7702,Control Room,phone_number,07805-247755 / 247916 / 07805-247755 / 247916 / 07805-247755 / 247916; 9575301341 / 9575301342,3
7703,Tarapur Atomic Power Station Stg 1 & 2,phone_number,"02525-244126, 02525-244128 (F) / 02525-244126, 02525-244128 (F) / 02525-244126, 02525-244128 (F)",3
7704,Tarapur Atomic Power Station Stg 3 & 4,phone_number,"02525-244511, 02525-244609 02525-244009, 02525-244100 / 02525-244511, 02525-244609 02525-244009, 02525-244100 / 8552000187, 9423081600; scetaps34@npcil.co.in",2
7705,Kakrapar Atomic Power Station Stg 1 & 2,phone_number,07573950841 02626-234280 02626-231231 / 07573950841 02626-234280 02626-231231 / 9499889101,2
7706,Kakrapar Atomic Power Station Stg 3 & 4,phone_number,"7573950843, 9409464909, 02626-231248, 02626-242080, Fax: 02626-231501 / 7573950843, 9409464909, 02626-231248, 02626-242080, Fax: 02626-231501 / 7573950843, 9409464909, 02626-231248, 02626-242080, Fax: 02626-231501",3
7707,Athena Jaipur Solar Power Private Limited,phone_number,20220581 / 20220581 / 7067549898,2
7708,Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL,phone_number,IP No 20221496 / IP No 20221496 / 9316735767,2
7709,Arinsun Clean Energy Private Limited,phone_number,SCADA VOIP- 20221492 PSS VOIP - 20221485 / SCADA VOIP- 20221492 PSS VOIP - 20221485,2
7711,Green Infra Wind Energy Limited SECI –II & SECI -II,phone_number,+91 124 3896711 / +91 124 3896711,2
7716,Alfanar Energy Private Limited,phone_number,Control Room; Hotline- 20220586 / Hotline- 20220586 / 9687042683,2
7721,Tata Power Renewable Energy Ltd.,phone_number,(022)67171159 (022)67171180 / (022)67171159 (022)67171180 / NA,2
7722,NTPC Kawas Solar PV Project,phone_number,0261 - 2860375 / 0261 - 2860375,2
7723,NTPC Jhanor - Gandhar Solar PV Project,phone_number,(Std Code: 02642)287450 / (Std Code: 02642)287450 / 9426811596 9099948434,2
7725,Adani Wind Energy Kutch Three Limited,phone_number,IP No 20221496 / IP No 20221496 / 9316735767,2
7726,Adani Wind Energy Kutch Five Limited,phone_number,IP No 20221496 / IP No 20221496 / 09316735767,2
7728,Avikaran Solar India Private Limited,phone_number,+91 6355 827 073 / +91 6355 827 073,2
7729,Control Room CUG: - +91 6353450165,phone_number,Manza PSS VOIP:- 20221503 / Manza PSS VOIP:- 20221503 / +91 6353450165,2
7734,Adani Wind Energy MP One Private Limited,phone_number,IP No 20220531 / IP No 20220531 / 7227065352,2
7735,Adani Wind Energy Kutch Four Limited,phone_number,IP No 20220535 / IP No 20220535 / 6353672066,2
7737,Alfanar Netra Wind Private Limited,phone_number,Hotline- 20220529 / Hotline- 20220529 / 9106763679,2
7739,Sherisha Raipur,phone_number,20220533 / 20220533,2
7750,Control Room : 9821055844,phone_number,SCADA VOIP/ PSS VOIP: 22651521 / SCADA VOIP/ PSS VOIP: 22651521,2
7751,Control Room Shift Engineer,phone_number,NA / NA / 7227069073,2
7752,Control Room,phone_number,IP No. 20220542 / IP No. 20220542 / 7227069073,2
7753,Control Room Shift Engineer,phone_number,NA / NA / 7227069072,2
7754,Control Room,phone_number,IP No. 20220538 / IP No. 20220538 / 7227069072,2
7755,Control Room Shift Engineer,phone_number,NA / NA / 7227069072,2
7756,Control Room,phone_number,IP No. 20220538 / IP No. 20220538 / 7227069072,2
7757,Control Room Shift Engineer,phone_number,NA / NA / 7227069072,2
7758,Control Room,phone_number,IP No. 20220538 / IP No. 20220538 / 7227069072,2
7759,Control Room Shift Engineer,phone_number,NA / NA / 7227069073,2
7760,Control Room,phone_number,IP No. 20220542 / IP No. 20220542 / 7227069073,2
7761,Control Room Shift Engineer,phone_number,NA / NA / 7227069073,2
7762,Control Room,phone_number,IP No. 20220542 / IP No. 20220542 / 7227069073,2
7763,Control Room Shift Engineer,phone_number,NA / NA / 7227036279,2
7764,Control Room,phone_number,IP No. 20221526 / IP No. 20221526 / 7227036279,2
7765,Control Room Shift Engineer,phone_number,NA / NA / 7227036279,2
7766,Control Room,phone_number,IP No. 20221526 / IP No. 20221526 / 7227036279,2
7767,Control Room Shift Engineer,phone_number,NA / NA / 7227078943,2
7768,Control Room,phone_number,IP No. 20221532 / IP No. 20221532 / 7227078943,2
7769,Control Room Shift Engineer,phone_number,NA / NA / 7227069073,2
7770,Control Room,phone_number,IP No. 20220542 / IP No. 20220542 / 7227069073,2
7771,Control Room Shift Engineer,phone_number,NA / NA / 7227069073,2
7772,Control Room,phone_number,IP No. 20220542 / IP No. 20220542 / 7227069073,2
7773,Control Room Shift Engineer,phone_number,NA / NA / 7227036204,2
7774,Control Room,phone_number,IP No. 20221517 / IP No. 20221517 / 7227036204,2
7775,Control Room Shift Engineer,phone_number,NA / NA / 7227078943,2
7776,Control Room,phone_number,IP No. 20221532 / IP No. 20221532 / 7227078943,2
7777,Control Room Shift Engineer,phone_number,NA / NA / 7227092433,2
7778,Control Room,phone_number,IP No. 20221461 / IP No. 20221461 / 7227092433,2
7779,Control Room Shift Engineer,phone_number,NA / NA / 7227069073,2
7780,Control Room,phone_number,IP No. 20220542 / IP No. 20220542 / 7227069073,2
7781,Control Room Shift Engineer,phone_number,NA / NA / 7227078943,2
7782,Control Room,phone_number,IP No. 20221532 / IP No. 20221532 / 7227078943,2
7783,Control Room Shift Engineer,phone_number,NA / NA / 7227036204,2
7784,Control Room,phone_number,IP No. 20221517 / IP No. 20221517 / 7227036204,2
7785,Control Room Shift Engineer,phone_number,NA / NA / 7227036204,2
7786,Control Room,phone_number,IP No. 20221517 / IP No. 20221517 / 7227036204,2
7787,Control Room Shift Engineer,phone_number,NA / NA / 7227078943,2
7788,Control Room,phone_number,IP No. 20221532 / IP No. 20221532 / 7227078943,2
7789,Control Room Shift Engineer,phone_number,NA / NA / 7227078943,2
7790,Control Room,phone_number,IP No. 20221532 / IP No. 20221532 / 7227078943,2
7791,Control Room Shift Engineer,phone_number,NA / NA / 7227078943,2
7792,Control Room,phone_number,IP No. 20221532 / IP No. 20221532 / 7227078943,2
7793,Control Room Shift Engineer,phone_number,NA / NA / 7227069073,2
7794,Control Room,phone_number,IP No. 20220542 / IP No. 20220542 / 7227069073,2
7802,1X300 MW Control Room,phone_number,1x300 MW Control Room; 6262049508 / 6262049508,2
7803,APL PH-I Control Room,phone_number,02838-266401 / 02838-266401 / 9687660422,2
7804,APL PH-II Control Room,phone_number,02838-266402 / 02838-266402 / 9687660700,2
7805,APL PH-III Control Room,phone_number,02838-266403 / 02838-266403 / 9687660919,2
7806,APL PH-IV Control Room,phone_number,02838-266404 / 02838-266404 / 9687660990,2
7807,APML Tiroda Control Room,phone_number,07198-271590 / 07198-271590 / 9764800057,2
7808,Shift In Charge,phone_number,07759-252316 / 07759-252316 / 9981995914/ 6264468552,2
7810,CGPL Central Control Room,phone_number,02838-678035 02838-661188 / 02838-678035 02838-661188 / 02838-678035 02838-661188,3
7813,Control Room,phone_number,9561112098 /9307900219 / 9561112098 /9307900219 / 9561112098 /9307900219,3
7816,Central Control Room (CCR),phone_number,8966902987 / NA / 8966902987,2
7817,GMR Warora Energy Limited,phone_number,Control Room; 8550991199 Fax No 07176-267222 / 8550991199 Fax No 07176-267222 / 8550991199 Fax No 07176-267222; 8550991199,3
7818,Jhabua Power Limited,phone_number,7583804700 / 7583804700 / 7583804700,3
7819,Jindal Power Limited,phone_number,7583804700 / 7583804700 / 7583804700,3
7820,Control Room,phone_number,"7869966844, 7817284011, 9981996983, 9630097902 / 7869966844, 7817284011, 9981996983, 9630097902 / 7869966844, 7817284011, 9981996983, 9630097902",3
7821,Control Room,phone_number,Mob- 9090784411/ 6264794628 / Mob- 9090784411/ 6264794628 / Mob- 9090784411/ 6264794628,3
7823,Control Room,phone_number,7773011721 / 7773011721 / 7773011721,3
