organization,current_address,proposed_address,source
Qualified Coordinating Agency,,QCA for Bhuj-I ISTS Pooling station,separate Word paragraph
NTPC Kawas Solar PV Project,,"NTPC Limited, NTPC Bhawan, SCOPE Complex, Institutional Area, Lodhi Road,New Delhi - 110003",separate Word paragraph
Tata Power Renewable Energy Ltd.,,"Corporate Centre, 34 Sant Tukaram Road, Carnac Bunder, Mumbai 400 009, Maharashtra, India",separate Word paragraph
Athena Jaipur Solar Power Private Limited,,"RUMS Pariyojana Unit No.2, Ramnagar Pahad, Tehsil Gurh,Dist.Rewa-486553(M.P.)",separate Word paragraph
NTPC Jhanor - Gandhar Solar PV Project,,"P.O. Urja Nagar, Dist. Bharuch, Gujarat – 392 215",separate Word paragraph
Gujarat State Electricity Corporation Limited,,"Corporate office, Vidyut Bhavan, Race course, Vadodara-390 007, Gujarat, India",separate Word paragraph
Sitac Kabini Renewables Private Limited,,"EDF Renewables India Pvt. Ltd. 1'st Floor, Eastern Wing, Thapar House,124, Janpath, New Delhi – 110001",separate Word paragraph
Srijan Energy Systems Private Limited,,"Office No. 1, Gandhi Colony, Jaora, Ratlam - 457 226, Madhya Pradesh, India",separate Word paragraph
NTPC Mauda,"NTPC Mouda STPP, Mouda-Ramtek Road, P.O. Mouda, Dist. Nagpur, Maharashtra - 441104","NTPC Mouda STPP, Mouda-Ramtek Road, P.O. Mouda, Distt.-Nagpur, Maharashtra-441104",separate Word paragraph
NTPC Korba,"NTPC Korba STPP, P.O. Vikash Bhawan, Jamnipali, Dist. Korba, Chhattisgarh - 495450","NTPC Korba STPP, P.O. Vikash Bhawan, Jamnipali, Distt.-Korba, Chhattisgarh-495450",separate Word paragraph
NTPC Sipat,"NTPC Sipat Super Thermal Power Station, Bilaspur, Chhattisgarh - 495555","NTPC Sipat STPP, P.O. Ujwal Nagar, Distt. Bilaspur, Chhattisgarh-495555",separate Word paragraph
NTPC Vindhyachal,"NTPC Vindhyachal STPP, P.O. Vindhyanagar, Waidhan, Dist. Singrauli, Madhya Pradesh - 486885","NTPC Vindhyachal STPP, P.O. Vindhyanagar - Waidhan Rd, Dist: Waidhan, Madhya Pradesh-486885",separate Word paragraph
TP Saurya Limited Unit-1,,"The Tata Power Company Limited, Corporate Center B, 34 Sant Tukaram Road, Carnac Bunder, Mumbai 400 009, Maharashtra, India.",separate Word paragraph
TP Saurya Limited Unit-2,,"The Tata Power Company Limited, Corporate Center B, 34 Sant Tukaram Road, Carnac Bunder, Mumbai 400 009, Maharashtra, India.",separate Word paragraph
NTPC Solapur,"NTPC Solapur STPS, Post Hotgi Station, South Solapur, Maharashtra - 413215","NTPC Solapur STPS, Post Hotgi Station Maharashtra South Solapur 413215",separate Word paragraph
Wind Two Renergy Private Limited,,"Samanvay”, 600-Tapovan, Ambawadi, Ahmedabad, Gujarat-380015",separate Word paragraph
Beempow Energy Private Limited,,"DLFSquare, 8thFloor, M Block, Jacaranda Marg, DLFPhase2 Gurgaon",separate Word paragraph
AVAADA Sunshine Energy Private Limited,,"Vill-Dudhpura Agar Malwa, MP-465441",separate Word paragraph
NTPC-SAIL Power Company Private Limited (NSPCL),,"NTPC-SAIL Power Company Ltd, Puranena Village, Chhattisgarh Dist – Durg, Bhilai 490021",separate Word paragraph
ACB (India) Limited,,"2x135 MW Kasaipali Thermal Power Project, ACB (India) Ltd. District – Korba Chhattisgarh Chakabura 495445",separate Word paragraph
Bharat Aluminum Company Limited,,"1200 MW CPP-3, P.O Balco Nagar, Distt: Korba (Chhattisgarh)- 495684.",separate Word paragraph
The Tata Power Co Limited Mundra (MTPS),,"Ultra Mega Power Project, Tunda-Vandh Road, Tunda village Mundra Kutch 370435.",separate Word paragraph
DB Power Limited,,"DB Power, Village – Baradarha, Post – Kanwali, Dist – Janjgir, Champa, Chhattisgarh Baradarha 495695.",separate Word paragraph
Dhariwal Infrastructure Limited,,"C-6, Tadali Growth Centre, MIDC Tadali Chandrapur, Maharashtra-442406",separate Word paragraph
Dongamouha Captive Power Plant (DCPP),,"Vill- Dongamouha, Tehsil -Tamnar, Raigarh – 496107, Chhattisgarh",separate Word paragraph
GMR Warora Energy Limited,,"Mohabala, MIDC Growth Centre, Warora, Dist Chandrapur, Maharashtra – 442907",separate Word paragraph
Jindal Power Limited,,"OP Jindal Super Thermal Power Plant, Tamnar, Raigarh, Chhattisgarh – 496107",separate Word paragraph
LANCO Amarkantak Power Limited,,"Village- Patadi,Tilkeja, District- Korba (Chhattisgarh) – 495674",separate Word paragraph
MB Power (MP) Limited,,"Village Laharpur, post Jaithari, district Anupur, Madhya Pradesh-484330",separate Word paragraph
Raigarh Energy Generation Limited,,"(Formally Korba West Power Company), Chhote Bhandar, PO: Bade Bhandar, District: Raigarh, Chhattisgarh – 496100",separate Word paragraph
Adani Power Limited - Raipur,,"(Formally GMR Chhattisgarh Energy Limited), Factory-Tilda, Village Raikheda, Raipur, Chhattisgarh-493225)",separate Word paragraph
RKM Powergen Private Limited,,"No. 14, Dr. Giriappa Road, T. Nagar, Chennai-600017",separate Word paragraph
SASAN Power Limited,,"Sasan UMPP, Village Tiyara, Waidhan, Singrauli, MP",separate Word paragraph
TRN Energy Private Limited,,"2x300 MW Thermal Power Project, P.O Nawapara (Tenda), Tehsil Gharghoda, Dist: Raigarh-496111 (Chhattisgarh)",separate Word paragraph
Jaypee Nigrie STPP,,"Nigri District, Madhya Pradesh Singrauli 486668",separate Word paragraph
Ratnagiri Gas & Power Private Limited,,"Post. RGPPL Anjanvel, Taluk-Guhagar, Dist.Ratnagiri, Maharashtra-415634",separate Word paragraph
SKS Power Generation (C.G) Limited,,"Unit No. 201 & 207, 2nd Floor, Centre Point Premises CHS, J.B. Nagar, Andheri-Kurla Road, Andheri (East), Mumbai –400059",separate Word paragraph
NTPC Vidyut Vyapar Nigam Limited,"1st Floor, Core-5, SCOPE Complex, Lodhi Road, New Delhi - 110003",1st Floor Core 5 Scope Complex Lodhi Road New Delhi 110003,separate Word paragraph
Office: Executive Director (Transmission),,"O/o Superintending Engineer (Backup SLDC), CSPTCL, Khedamara, Bhilai",separate Word paragraph
Arinsun Clean Energy Private Limited,,"Unit-3, ACEPL, Rewa Ultra Mega Solar Plant, Gurh Tehsil Madhya Pradesh Rewa 486553",separate Word paragraph
INOX Green Energy Services Limited,,"Dayapar (Kutch) Gujarat, Pin code – 370625",separate Word paragraph
Gujarat Industries Power Company Limited,,"PO: Ranoli, Dist: Vadodara, Gujarat- 391350",separate Word paragraph
Arcelormittal Nippon Steel India Limited,"27th KM, Surat Hazira Road, Hazira, Surat, Gujarat - 394270","27th KM, Surat Hazira Road, Gujarat Surat 394270",separate Word paragraph
BARC Facility,"Bhabha Atomic Research Centre, Trombay, Mumbai, Maharashtra - 400085","TRP Nuclear Recycle Board, BARC, Tarapur, Mahatashtra Mumbai 401502",separate Word paragraph
Heavy Water Board,"Heavy Water Board, Vikram Sarabhai Bhavan, Anushaktinagar, Mumbai - 400094","Department of Atomic Energy, V. S. Bhavan, Anushaktinagar, Mumbai- 400094",separate Word paragraph
National High Power Test Laboratory,"NHPTL, CSIR Campus, Taramani, Chennai - 600113","POWERGRID Complex, 765/400/220KV Sub-Station Khimlasa Road,Bina, Dist-Sagar-470113 Madhya Pradesh",separate Word paragraph
"Office: The Chief Engineer (Sub-Station) CSPTCL, Raipur",,"O/o Superintending Engineer (Backup SLDC), CSPTCL, Khedamara, Bhilai",separate Word paragraph
"Address: Vidhut Siva Bhavan 5th Floor CSEB, Power Company Campus, Dangania",,"O/o Superintending Engineer (Backup SLDC), CSPTCL, Khedamara, Bhilai",separate Word paragraph
SSP,,"NCA, Narmada Sadan, Sector -B, Scheme No 74, Vijaynagar, Madhya Pradesh Indore 452010",separate Word paragraph
Tarapur Atomic Power Station Stg-1 & 2,"Tarapur Atomic Power Station, P.O. TAPP, Boisar, Palghar, Maharashtra - 401504","NPCIL, PO: TAPP, Boisar (WR), Dist. Palghar, Maharashtra, PIN: 401504.",separate Word paragraph
Tarapur Atomic Power Station Stg-3 & 4,"Tarapur Atomic Power Station, P.O. TAPP, Boisar, Palghar, Maharashtra - 401504","NPCIL, PO: TAPP, Boisar (WR), Dist. Palghar, Maharashtra, PIN : 401504.",separate Word paragraph
Kakrapar Atomic Power Station Stg-1 & 2,"Kakrapar Atomic Power Station, P.O. Anumala, Vyara, Surat, Gujarat - 394651","NPCIL, Post Office: Anumala, Surat , Gujrat, PIN : 394651",separate Word paragraph
Kakrapar Atomic Power Station Stg-3 & 4,"Kakrapar Atomic Power Station, P.O. Anumala, Vyara, Surat, Gujarat - 394651","NPCIL, Post Office: Anumala, Surat , Gujrat, PIN : 394651",separate Word paragraph
AMNS (Essar) Power Transmission Company Limited,,"400KV Hazira GIS Control Room, C/o AMNS India Ltd. 27 km Surat Hazira Road, Surat, Gujarat",separate Word paragraph
India Grid Trust (Indigrid),,"Asset Management, Mumbai",separate Word paragraph
Sterlite Power Transmission Limited,,"Head Office, Gurugram",separate Word paragraph
Rajgarh Transmission Limited,,"Flat No. 1097, Sector-A, Pocket-A, Vasant Kunj, New Delhi - 110070",separate Word paragraph
Avaada Gjlakadiya Private Limited,,"550MW Avaada Rampar, Gujarat",separate Word paragraph
NTPC Gadarwara,,"NTPC Gadarwara Super Thermal Power Project, Narsinghpur, Madhya Pradesh-487 001.",extracted from banner title cell (not a separate paragraph)
NTPC Khargone,,"NTPC Khargone Super Thermal Power Project, Vishnupuri, Khandwa Road, Khargone, Madhya Pradesh-451 001",extracted from banner title cell (not a separate paragraph)
NTPC Gandhar,,"NTPC Gandhar Gas Power Project, P.O.: NTPC township, Dist. Bharuch, Gujarat- 392215",extracted from banner title cell (not a separate paragraph)
