id,station,category,raw_value,proposed_value,likely_origin
7653,Western Region Load Despatch Centre,control_room,9869281317 Fax No. 022- 28202693/30 / 9869281317 Fax No. 022- 28202693/30 / 9320399988 8356846298,9869281317 Fax No. 022- 28202693 / 30 / 9320399988 8356846298,mixed
7659,Gandhi Sagar,control_room,"07427-239118/237256, 237212, 9425805340 / 07427-239118/237256, 237212, 9425805340 / 07427-239118/237256, 237212, 9425805340",07427-239118 / 237256 / 237212 / 9425805340,mixed
7660,Birshingpur,control_room,07655-262428 / 07655-262428 / 07655-262428,07655-262428,mixed
7666,Kadana,control_room,02675-237554/ 9925213774/9979889925 / 02675-237554/ 9925213774/9979889925 / 02675-237554/ 9925213774/9979889925,02675-237554 / 9925213774 / 9979889925,mixed
7667,GIPCL 1 & 2,control_room,"02652230182, 02652230183 Fax No. 0265-2231822 / 02652230182, 02652230183 Fax No. 0265-2231822 / 9909035317",02652230182 / 02652230183 Fax No. 0265-2231822 / 9909035317,mixed
7671,Sugen,control_room,02621-661664/Fax No. 02621 - 661654 / 02621-661664/Fax No. 02621 - 661654 / 02621-661664/Fax No. 02621 - 661654,02621-661664 / Fax No. 02621 - 661654,originated_in_word
7672,Mini Hydro,control_room,02624-233510 / 02624-233510 / 9712921574,02624-233510 / 9712921574,originated_in_word
7674,Bhira,control_room,022-66687091 / 022-25543331 / 022 - 67175377 Fax - 022-67175385 / 022-66687091 / 022-25543331 / 022 - 67175377 Fax - 022-67175385 / 022-66687091 / 022-25543331 / 022 - 67175377 Fax - 022-67175385,022-66687091 / 022-25543331 / 022 - 67175377 Fax - 022-67175385,mixed
7676,Ghatghar,control_room,02527-235310/311 8411956540 / 8411006637/ 8411956542 / 02527-235310/311 8411956540 / 8411006637/ 8411956542 / 02527-235310/311 8411956540 / 8411006637/ 8411956542,02527-235310 / 311 8411956540 / 8411006637 / 8411956542,mixed
7678,RGPPL,control_room,02359-241120 / 02359-241120 / 8007060703,02359-241120 / 8007060703,mixed
7680,Uran,control_room,8879620047/ 48/ 49 & 022-27222235 / 8879620047/ 48/ 49 & 022-27222235 / 09930144837,8879620047 / 48 / 49 & 022-27222235 / 09930144837,mixed
7686,Madhya Pradesh State Load Despatch Centre,control_room,0761 - 2970601/0761-2668586/2706800 0761-2664343/2660015 / 0761 - 2970601/0761-2668586/2706800 0761-2664343/2660015 / 9425806598,0761 - 2970601 / 0761-2668586 / 2706800 0761-2664343 / 2660015 / 9425806598,originated_in_word
7691,Daman And Diu,control_room,9909976436 / 9909976436 / 9909976436,9909976436,originated_in_word
7694,NTPC Kawas,control_room,0261-2860375 FAX 0261- 2861428 / 0261-2860375 FAX 0261- 2861428 / 9426810249,0261-2860375 FAX 0261- 2861428 / 9426810249,originated_in_word
7695,NTPC Mauda,control_room,7588184339/ 8275045123 / 7588184339/ 8275045123 / 7588184339/ 8275045123,7588184339 / 8275045123,originated_in_word
7696,NTPC Solapur,control_room,"0217-2252611/ 2461301, 2461303 Fax: 0217-2252580/ 2252280 / 0217-2252611/ 2461301, 2461303 Fax: 0217-2252580/ 2252280 / 0217-2252611/ 2461301, 2461303 Fax: 0217-2252580/ 2252280",0217-2252611 / 2461301 / 2461303 Fax: 0217-2252580 / 2252280,originated_in_word
7699,NTPC Korba,control_room,07759-237529 07759-237440/ 022- 28306068 (F) / 07759-237529 07759-237440/ 022- 28306068 (F) / 9424141909/ 9004497000,07759-237529 07759-237440 / 022- 28306068 (F) / 9424141909 / 9004497000,originated_in_word
7700,NTPC Lara,control_room,09109179793 / 09109179793 / 09109179793,09109179793,originated_in_word
7701,NTPC Sipat,control_room,07752-277660/ 246545/ 246587 / 07752-277660/ 246545/ 246587 / 07752-277660/ 246545/ 246587; 9424140682,07752-277660 / 246545 / 246587 / 9424140682,originated_in_word
7702,NTPC Vindhyachal,control_room,07805-247755 / 247916 / 07805-247755 / 247916 / 07805-247755 / 247916; 9575301341 / 9575301342,07805-247755 / 247916 / 9575301341 / 9575301342,originated_in_word
7703,Tarapur Atomic Power Station Stg-1 & 2,control_room,"02525-244126, 02525-244128 (F) / 02525-244126, 02525-244128 (F) / 02525-244126, 02525-244128 (F)",02525-244126 / 02525-244128 (F),originated_in_word
7704,Tarapur Atomic Power Station Stg-3 & 4,control_room,"02525-244511, 02525-244609 02525-244009, 02525-244100 / 02525-244511, 02525-244609 02525-244009, 02525-244100 / 8552000187, 9423081600; scetaps34@npcil.co.in",02525-244511 / 02525-244609 02525-244009 / 02525-244100 / 8552000187 / 9423081600 / scetaps34@npcil.co.in,originated_in_word
7705,Kakrapar Atomic Power Station Stg-1 & 2,control_room,07573950841 02626-234280 02626-231231 / 07573950841 02626-234280 02626-231231 / 9499889101,07573950841 02626-234280 02626-231231 / 9499889101,originated_in_word
7706,Kakrapar Atomic Power Station Stg-3 & 4,control_room,"7573950843, 9409464909, 02626-231248, 02626-242080, Fax: 02626-231501 / 7573950843, 9409464909, 02626-231248, 02626-242080, Fax: 02626-231501 / 7573950843, 9409464909, 02626-231248, 02626-242080, Fax: 02626-231501",7573950843 / 9409464909 / 02626-231248 / 02626-242080 / Fax: 02626-231501,originated_in_word
7707,Athena Jaipur Solar Power Private Limited,control_room,20220581 / 20220581 / 7067549898,20220581 / 7067549898,originated_in_word
7708,Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL,control_room,IP No 20221496 / IP No 20221496 / 9316735767,IP No 20221496 / 9316735767,originated_in_word
7709,Arinsun Clean Energy Private Limited,control_room,SCADA VOIP- 20221492 PSS VOIP - 20221485 / SCADA VOIP- 20221492 PSS VOIP - 20221485,SCADA VOIP- 20221492 PSS VOIP - 20221485,originated_in_word
7711,Green Infra Wind Energy Limited SECI –II & SECI -II,control_room,+91 124 3896711 / +91 124 3896711,+91 124 3896711,originated_in_word
7716,Alfanar Energy Private Limited,control_room,Control Room; Hotline- 20220586 / Hotline- 20220586 / 9687042683,Control Room / Hotline- 20220586 / 9687042683,originated_in_word
7721,Tata Power Renewable Energy Ltd.,control_room,(022)67171159 (022)67171180 / (022)67171159 (022)67171180 / NA,(022)67171159 (022)67171180 / NA,originated_in_word
