organization,current_name,word_raw_heading,decision,reasoning
Madhya Pradesh State Load Despatch Centre,Madhya Pradesh State Load Despatch Centre,“None of us is as smart as all of us.” – Ken Blanchard MADHYA PRADESH STATE LOAD DESPATCH CENTRE,no_change,Decorative quote ('None of us is as smart as all of us... - Ken Blanchard') glued onto the real name in the same Word cell. App's name is already correct.
Western Regional Power Committee,Western Regional Power Committee,"WESTERN REGIONAL POWER COMMITTEE, MUMBAI",no_change,"Word adds ', MUMBAI' city suffix; app's existing naming convention across other orgs doesn't include city suffixes. Cosmetic, not an error."
"Eastern Regional Load Despatch Centre , Kolkata","Eastern Regional Load Despatch Centre , Kolkata","We = Power… Eastern Regional Load Despatch Centre , Kolkata",no_change,Decorative quote ('We = Power') glued onto the real name. App name already correct.
Khopoli & Bhivpuri,Khopoli & Bhivpuri,MAHARASHTRA 17. Khopoli & Bhivpuri,no_change,"Word prefix 'MAHARASHTRA 17.' is a state label + section number, both artifacts, not part of the real name."
NTPC Gadarwara,NTPC Gadarwara,"NTPC Gadarwara Super Thermal Power Project, Narsinghpur, Madhya Pradesh-487 001.",no_change_ported_to_address,"Extra text is a full descriptive address ('Super Thermal Power Project, Narsinghpur, Madhya Pradesh-487 001'), not a name variant -- belongs in the address field. Added to batch b."
NTPC Khargone,NTPC Khargone,"NTPC Khargone Super Thermal Power Project, Vishnupuri, Khandwa Road, Khargone, Madhya Pradesh-451 001",no_change_ported_to_address,Same pattern as NTPC Gadarwara -- address text embedded in the banner cell. Added to batch b.
NTPC Kawas,NTPC Kawas,Kawas,no_change,Word is LESS specific here (just 'Kawas') than the app's 'NTPC Kawas' -- app's fuller name is correct; no action needed.
AVAADA Sunshine Energy Private Limited,AVAADA Sunshine Energy Private Limited,200MW AVAADA SUNSHINE ENERGY PRIVATE LIMITED,no_change,Word's '200MW' capacity prefix isn't part of the official org name (matches the app's existing convention of excluding capacity annotations elsewhere).
Tata Power Mumbai,Tata Power Mumbai,. TATA Power Mumbai,no_change,"Stray leading '. ' in Word's heading paragraph -- looks like a formatting artifact (an auto-number field that rendered as bare punctuation), not real content."
NTPC Gandhar,NTPC Gandhar,"NTPC Gandhar Gas Power Project, P.O.: NTPC township, Dist. Bharuch, Gujarat- 392215",no_change_ported_to_address,Same pattern as NTPC Gadarwara -- address text embedded in the banner cell. Added to batch b.
Adani Power Limited,Adani Power Limited,. Adani Power Limited,no_change,Same stray leading '. ' artifact as Tata Power Mumbai.
