org_id,organization_name,current_category,current_subcategory_region,word_h1_section,implied_category,note
6438,ACB (India) Limited,Thermal,Other Generating Stations In Western Region,Other Generating Stations in Western Region,,"ambiguous section: catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
6414,Adani Green Energy Twenty Five A Limited -PSS3,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6415,Adani Green Energy Twenty Five B Limited -PSS3,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6416,Adani Green Energy Twenty Four A Limited -PSS3,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6431,Adani Green Energy Twenty Four Limited – PSS-4,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6412,Adani Green Energy Twenty Six A Limited -PSS3,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6413,Adani Green Energy Twenty Six B Limited -PSS3,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6422,Adani Hazira Port Limited-PSS3,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6430,Adani Hybrid Energy Jaisalmer Five Limited -PSS4,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6433,Adani Ports And Special Economic Zone Limited -PSS3,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6432,Adani Ports And Special Economic Zone Limited -PSS4,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6442,Adani Power (Mundra) Limited,Thermal,Other Generating Stations In Western Region,Other Generating Stations in Western Region,,"ambiguous section: catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
6466,Adani Power Limited,Transmission Utility,Other Transmission Licensees In Western Region,Other Transmission Licensees in Western Region,Transmission Utility,match
6460,Adani Power Limited - Raipur,Thermal,Other Generating Stations In Western Region,Other Generating Stations in Western Region,,"ambiguous section: catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
6443,"Adani Power Limited, Tiroda",Thermal,Other Generating Stations In Western Region,Other Generating Stations in Western Region,,"ambiguous section: catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
6417,Adani Renewable Energy Fifty Five Limited - PSS3,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6419,Adani Renewable Energy Fifty Seven Limited PSS-13,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6424,Adani Renewable Energy Fifty Six Limited – PSS4,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6428,Adani Renewable Energy Fifty Six Limited – PSS9,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
6423,Adani Renewable Energy Forty Eight Limited-PSS9,Generation Company,ISTS Connected RE Generators In Western Region,ISTS Connected RE Generators in Western Region,Generation Company,match
