org_id,organization_name,old_category,new_type,derived_state,needs_review
619,Western Region Load Despatch Centre,RLDC,RLDC,,
6071,NLDC And RLDCs,Others,Others,,YES
6072,Western Regional Power Committee,Others,Others,,YES
6073,Black Start Facilitated Stations,Others,Others,,YES
6074,Maharashtra State Load Despatch Centre,Others,Others,Maharashtra,YES
6075,Gujarat State Load Despatch Centre,Others,Others,Gujarat,YES
6076,Madhya Pradesh State Load Despatch Centre,Others,Others,Madhya Pradesh,YES
6077,Chhattisgarh State Load Despatch Centre,Others,Others,Chhattisgarh,YES
6078,Goa Electricity Department,Others,Others,Goa,YES
6079,Daman And Diu,Others,Others,Daman and Diu,YES
6080,Dadra And Nagar Haveli,Others,Others,Dadra and Nagar Haveli,YES
6081,NTPC Mumbai Head Quarter (WR-1),Others,Others,Maharashtra,YES
6082,NTPC Raipur Head Quarter (WR-2),Others,Others,Chhattisgarh,YES
6083,Nuclear Power Stations In Western Region,Others,Others,,YES
6084,ISTS Connected RE Generators In Western Region,Others,Others,,YES
6085,Qualified Coordinating Agency,Others,Others,,YES
6086,Other Generating Stations In Western Region,Others,Others,,YES
6087,Other Transmission Licensees In Western Region,Others,Others,,YES
6088,Other Buyers In Western Region,Others,Others,,YES
6089,Other Users In Western Region,Others,Others,,YES
6090,Power Grid Corporation Of India Limited,Others,Others,,YES
6091,Grid Controller Of India Limited,Others,Others,,YES
6092,NTPC,Others,Others,,YES
6093,"POWERGRID WRTS-I, Nagpur",Others,Others,,YES
6094,"POWERGRID WRTS-II, Vadodara",Others,Others,,YES
6095,"Power System Operation Corporation Limited National Load Despatch Centre (NLDC), New Delhi",Others,Others,Delhi,YES
6096,Northern Regional Load Despatch Centre New Delhi,Others,RLDC,Delhi,
6097,"Eastern Regional Load Despatch Centre , Kolkata",Others,RLDC,West Bengal,
6098,"Southern Regional Load Despatch Centre, Bengaluru",Others,RLDC,Karnataka,
6099,"North Eastern Regional Load Despatch Centre, Shillong",Others,RLDC,Meghalaya,
6100,Indira Sagar,Others,Hydel,Madhya Pradesh,
6101,Gandhi Sagar,Others,Generation Company,Madhya Pradesh,
6102,Pench,Others,Hydel,Madhya Pradesh,
6103,Bargi,Others,Hydel,Madhya Pradesh,
6104,Birshingpur,Others,Hydel,Madhya Pradesh,
6105,Omkareshwar,Others,Hydel,Madhya Pradesh,
6106,Tons,Others,Hydel,Madhya Pradesh,
6107,Manikheda,Others,Hydel,Madhya Pradesh,
6108,Rajghat,Others,Hydel,Madhya Pradesh,
6109,UKAI,Others,Generation Company,Gujarat,
6110,Kadana,Others,Hydel,Gujarat,
6111,GIPCL 1 & 2,Others,Generation Company,Gujarat,
6112,Dhuvaran,Others,Thermal,Gujarat,
6113,Sugen,Others,Thermal,Gujarat,
6114,Mini Hydro,Others,Hydel,Gujarat,
6115,Khopoli & Bhivpuri,Others,Hydel,Maharashtra,
6116,Bhira,Others,Hydel,Maharashtra,
6117,"Koyna, Pophali",Others,Hydel,Maharashtra,
6118,Ghatghar,Others,Hydel,Maharashtra,
6119,Trombay,Others,Thermal,Maharashtra,
6120,RGPPL,Others,Thermal,Maharashtra,
6121,Paithan,Others,Hydel,Maharashtra,
6122,Uran,Others,Thermal,Maharashtra,
6123,Hasdeo Bango,Others,Hydel,Chhattisgarh,
6124,Maharashtra State Electricity Transmission Co. Ltd.,Others,Transmission Utility,Maharashtra,
6125,"State Load Despatch Centre, MSETCL",Others,Others,Maharashtra,YES
6126,"Area Load Despatch Centre, MSETCL,",Others,Others,Maharashtra,YES
6127,Maharashtra State Electricity Distribution Co. Ltd.,Others,Others,Maharashtra,YES
6128,MP Power Management CO. LTD.,Others,Others,Madhya Pradesh,YES
6129,Madhya Pradesh Power Generation Company Limited,Others,Generation Company,Madhya Pradesh,
6130,NTPC Gandhar,Others,Others,Maharashtra,YES
6131,NTPC Kawas,Others,Others,Maharashtra,YES
