org_id,org_name,current_category,proposed_category,matched_rule,flag
6293,Maharashtra State Load Despatch Centre,State SLDC,SLDC,category = State SLDC -> renamed to SLDC,
6294,Gujarat State Load Despatch Centre,State SLDC,SLDC,category = State SLDC -> renamed to SLDC,
6295,Madhya Pradesh State Load Despatch Centre,State SLDC,SLDC,category = State SLDC -> renamed to SLDC,
6296,Chhattisgarh State Load Despatch Centre,State SLDC,SLDC,category = State SLDC -> renamed to SLDC,
6297,Goa Electricity Department,State SLDC,SLDC,category = State SLDC -> renamed to SLDC,
6298,Daman And Diu,State SLDC,SLDC,category = State SLDC -> renamed to SLDC,
6299,Dadra And Nagar Haveli,State SLDC,SLDC,category = State SLDC -> renamed to SLDC,
6303,ISTS Connected RE Generators In Western Region,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6320,Gandhi Sagar,Generation Company,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company (already here)",
6346,Maharashtra State Electricity Distribution Co. Ltd.,Others,DISCOM,name contains 'distribution' -> DISCOM,
6328,UKAI,Generation Company,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company (already here)",
6330,GIPCL 1 & 2,Generation Company,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company (already here)",
6348,Madhya Pradesh Power Generation Company Limited,Generation Company,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company (already here)",
6376,Tata Power Renewable Energy Ltd.,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6363,Athena Jaipur Solar Power Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6364,Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6399,NTPC Renewable Energy Limited Shajapur Unit-1,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6400,NTPC Renewable Energy Limited Shajapur Unit-2,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6401,NTPC Renewable Energy Ltd (Dayapar WEP-Ph-1),RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6417,Adani Renewable Energy Fifty Five Limited - PSS3,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6418,Adani Renewable Energy Forty One Limited PSS-13,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6419,Adani Renewable Energy Fifty Seven Limited PSS-13,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6423,Adani Renewable Energy Forty Eight Limited-PSS9,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6424,Adani Renewable Energy Fifty Six Limited – PSS4,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6425,Adani Renewable Energy Holding Four Limited-PSS1,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6394,Wind Two Renergy Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6426,Adani Renewable Energy Forty One Limited - PSS3,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6427,Adani Renewable Energy Forty One Limited – PSS4,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6428,Adani Renewable Energy Fifty Six Limited – PSS9,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6437,M/S Adani Renewable Energy Holding Five Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6464,SKS Power Generation (C.G) Limited,Generation Company,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company (already here)",
6503,Office: Executive Director (Transmission),Others,Transmission Utility,name contains 'transmission' -> Transmission Utility,
6500,SSNL,Generation Company,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company (already here)",
6501,Gandhar,Generation Company,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company (already here)",
6365,Arinsun Clean Energy Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6366,Green Infra Wind Energy Limited SECI –II & SECI -II,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6367,INOX Green Energy Services Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6368,Mahindra Renewables Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6369,Ostro Kutch Wind Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6370,Renew Power Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6371,Alfanar Energy Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6372,Renew Wind Energy (AP2) Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6373,Continuum Power Trading Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6374,Gujarat Industries Power Company Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6375,Electro Solaire Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6377,NTPC Kawas Solar PV Project,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6378,NTPC Jhanor - Gandhar Solar PV Project,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6379,Ostro Energy Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6380,Adani Wind Energy Kutch Three Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6381,Adani Wind Energy Kutch Five Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6382,Gujarat State Electricity Corporation Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6383,Avikaran Solar India Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6384,Powerica Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6385,Sitac Kabini Renewables Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6386,Srijan Energy Systems Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6387,Solapur Solar PV Project,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6388,Adani Wind Energy MP One Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6389,Adani Wind Energy Kutch Four Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6390,Apraava Energy Private Limited (AEPL),RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6391,Alfanar Netra Wind Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6392,Sherisha Raipur,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6393,Wind One Renergy Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6395,Wind Three Renergy Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6396,Wind Five Renergy Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6397,Gujarat State Electricity Corporation Limited- Phase II,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6398,TEQ Green Power XI Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6402,TP Saurya Limited Unit-1,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6403,TP Saurya Limited Unit-2,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6404,MASAYA Solar Energy Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6405,Torrent Power Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6406,Talettutayi Solar Projects Nine Pvt Ltd,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6407,SJVN Green Energy Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6408,Renew Green (MHS One) Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6409,Renew Green (MHP One) Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6410,Beempow Energy Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6411,AVAADA Sunshine Energy Private Limited,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6412,Adani Green Energy Twenty Six A Limited -PSS3,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6413,Adani Green Energy Twenty Six B Limited -PSS3,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6414,Adani Green Energy Twenty Five A Limited -PSS3,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6415,Adani Green Energy Twenty Five B Limited -PSS3,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6416,Adani Green Energy Twenty Four A Limited -PSS3,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6420,Ambuja Cements Limited -PSS-4,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6421,Ambuja Cements Limited-PSS-3,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
6422,Adani Hazira Port Limited-PSS3,RE Generators,Generation Company,"category in (Generation Company, RE Generators) -> merged to Generation Company",
