Sheet,Action,Details
employees,Manual review required,"employee_id=95 name='A.B. Rathod' designation='Additional Chief Engineer' current_suborg_id=None -- Word lists this exact name+designation at 2 different stations (Gujarat State Load Despatch Centre, Synopsis of Important Telephone Numbers); can't determine which one this row means"
employees,Manual review required,"employee_id=102 name='A.P. Shah' designation='Exe. Engineer (Scheduling)' current_suborg_id=None -- Word shows this role at station 'Gujarat State Load Despatch Centre', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=197 name='Abhay Gajendra Prasad Sahu' designation='AGM (OS)' current_suborg_id=None -- Word shows this role at station 'NTPC Mumbai Head Quarter (WR-1)', which has no exact match in sub_organizations"
employees,Corrected suborg_id (Word-verified),"employee_id=49 name='Abhijeet Patil' designation='Group Head-(H)' old_suborg_id=23 new_suborg_id=22 station='Mini Hydro' reason='Word directory uniquely and exactly places this person at this station, which differs from the suborg_id previously stored'"
employees,Manual review required,"employee_id=3 name='Aditya Prasad Das' designation='General Manager' current_suborg_id=2 -- Word shows this role at station 'NLDC and RLDCs', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=679 name='Ajit Barodia' designation='Group Vice President' current_suborg_id=157 -- Word shows this role at station '. Adani Power Limited', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=680 name='Akkshay Mathhur' designation='Associate Vice President' current_suborg_id=157 -- Word shows this role at station '. Adani Power Limited', which has no exact match in sub_organizations"
employees,Manual review required,"employee_id=286 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=68 -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=359 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=84 -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=364 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=85 -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
