organization,word_section,word_implied_category,app_current_category,match
Maharashtra State Load Despatch Centre,Maharashtra State Load Despatch Centre,SLDC,SLDC,yes
Gujarat State Load Despatch Centre,Gujarat State Load Despatch Centre,SLDC,SLDC,yes
Madhya Pradesh State Load Despatch Centre,Madhya Pradesh State Load Despatch Centre,SLDC,SLDC,yes
Chhattisgarh State Load Despatch Centre,Chhattisgarh State Load Despatch Centre,SLDC,SLDC,yes
Western Regional Power Committee,Western Regional Power Committee,Regional Power Committee,Regional Power Committee,yes
Daman And Diu,Daman and Diu,SLDC,SLDC,yes
Dadra And Nagar Haveli,Dadra and Nagar Haveli,SLDC,SLDC,yes
NTPC Mumbai Head Quarter (WR-1),NTPC Mumbai Head Quarter (WR-1),Thermal,Thermal,yes
NTPC Raipur Head Quarter (WR-2),NTPC Raipur Head Quarter (WR-2),Thermal,Thermal,yes
Northern Regional Load Despatch Centre New Delhi,NLDC and RLDCs,RLDC,RLDC,yes
"Eastern Regional Load Despatch Centre , Kolkata",NLDC and RLDCs,RLDC,RLDC,yes
"Southern Regional Load Despatch Centre, Bengaluru",NLDC and RLDCs,RLDC,RLDC,yes
"North Eastern Regional Load Despatch Centre, Shillong",NLDC and RLDCs,RLDC,RLDC,yes
MP Power Management CO. LTD.,Madhya Pradesh State Load Despatch Centre,SLDC,Others,no
NTPC Kawas Solar PV Project,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Madhya Pradesh Power Generation Company Limited,Madhya Pradesh State Load Despatch Centre,SLDC,Generation Company,no
NTPC Solapur,NTPC Mumbai Head Quarter (WR-1),Thermal,Thermal,yes
Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Ostro Energy Private Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Adani Wind Energy Kutch Three Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Adani Wind Energy Kutch Five Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Avikaran Solar India Private Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Powerica Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
NTPC Mauda,NTPC Mumbai Head Quarter (WR-1),Thermal,Thermal,yes
Solapur Solar PV Project,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Adani Wind Energy MP One Private Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Adani Wind Energy Kutch Four Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Apraava Energy Private Limited (AEPL),ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Alfanar Netra Wind Private Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Sherisha Raipur,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Wind One Renergy Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Wind Three Renergy Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Wind Five Renergy Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Gujarat State Electricity Corporation Limited- Phase II,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
NTPC Gadarwara,NTPC Raipur Head Quarter (WR-2),Thermal,Thermal,yes
NTPC Lara,NTPC Raipur Head Quarter (WR-2),Thermal,Thermal,yes
Adani Renewable Energy Fifty Five Limited - PSS3,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Adani Renewable Energy Forty One Limited PSS-13,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Adani Renewable Energy Fifty Seven Limited PSS-13,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Adani Renewable Energy Forty Eight Limited-PSS9,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Adani Renewable Energy Fifty Six Limited – PSS4,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
