organization,word_section,app_current_category,reason
BARC Facility,Other Buyers in Western Region,Others,"catch-all 'Other' bucket, no clear single-category match"
Indira Sagar,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Gandhi Sagar,Black Start Facilitated Stations,Generation Company,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Pench,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Bargi,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Birshingpur,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Omkareshwar,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Tons,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Manikheda,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Rajghat,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
UKAI,Black Start Facilitated Stations,Generation Company,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Kadana,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
GIPCL 1 & 2,Black Start Facilitated Stations,Generation Company,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Dhuvaran,Black Start Facilitated Stations,Thermal,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Sugen,Black Start Facilitated Stations,Thermal,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Mini Hydro,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Khopoli & Bhivpuri,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Bhira,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
"Koyna, Pophali",Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Ghatghar,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Trombay,Black Start Facilitated Stations,Thermal,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
RGPPL,Black Start Facilitated Stations,Thermal,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Paithan,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Uran,Black Start Facilitated Stations,Thermal,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Hasdeo Bango,Black Start Facilitated Stations,Hydel,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
Qualified Coordinating Agency,Qualified Coordinating Agency,Others,"a functional role (QCA), not one of the existing app categories"
Heavy Water Board,Other Buyers in Western Region,Others,"catch-all 'Other' bucket, no clear single-category match"
National High Power Test Laboratory,Other Users in Western Region,Others,"catch-all 'Other' bucket, no clear single-category match"
NTPC Vidyut Vyapar Nigam Limited,Other Users in Western Region,CPSU,"catch-all 'Other' bucket, no clear single-category match"
Arcelormittal Nippon Steel India Limited,Other Buyers in Western Region,Others,"catch-all 'Other' bucket, no clear single-category match"
SSP,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
Adani Power (Mundra) Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
"Adani Power Limited, Tiroda",Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
DGEN Mega Power Project,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
Mahan Energen Limited (Formally Essar Power (MP) Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
Jhabua Power Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
KSK Mahanadi Power Company Limited (JSW Energy),Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
ACB (India) Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
Bharat Aluminum Company Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
The Tata Power Co Limited Mundra (MTPS),Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
DB Power Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
Dhariwal Infrastructure Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
Dongamouha Captive Power Plant (DCPP),Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
Tata Power Mumbai,Other Users in Western Region,Others,"catch-all 'Other' bucket, no clear single-category match"
Gandhar,Black Start Facilitated Stations,Generation Company,"cross-cutting flag, not a category -- these are Thermal/Hydel/Nuclear stations already listed under their real section elsewhere in the document"
GMR Warora Energy Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
Jaypee Nigrie STPP,Other Generating Stations in Western Region,Thermal,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
Jindal Power Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
LANCO Amarkantak Power Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
MB Power (MP) Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
NTPC-SAIL Power Company Private Limited (NSPCL),Other Generating Stations in Western Region,Generation Company,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
Raigarh Energy Generation Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
Adani Power Limited - Raipur,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
Ratnagiri Gas & Power Private Limited,Other Generating Stations in Western Region,Thermal,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
RKM Powergen Private Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
SASAN Power Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
SKS Power Generation (C.G) Limited,Other Generating Stations in Western Region,Generation Company,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
TRN Energy Private Limited,Other Generating Stations in Western Region,Others,"catch-all 'Other' bucket -- likely a mix of Thermal/Hydel/Generation Company, can't assign a single category without inspecting each org"
