station,app_has_issue,app_issue_types,word_has_issue,word_issue_types,likely_origin
ACB (India) Limited,False,,True,duplicated_phone; garbled_field; numbered_prefix,word_only_not_in_app
AMNS (Essar) Power Transmission Company Limited,False,,True,duplicated_phone,word_only_not_in_app
AVAADA Sunshine Energy Private Limited,False,,True,garbled_field,word_only_not_in_app
Adani Green Energy Twenty Five A Limited -PSS3,False,,True,duplicated_phone,word_only_not_in_app
Adani Green Energy Twenty Five B Limited -PSS3,False,,True,duplicated_phone,word_only_not_in_app
Adani Green Energy Twenty Four A Limited -PSS3,False,,True,duplicated_phone,word_only_not_in_app
Adani Green Energy Twenty Four Limited – PSS-4,False,,True,duplicated_phone,word_only_not_in_app
Adani Green Energy Twenty Six A Limited -PSS3,False,,True,duplicated_phone,word_only_not_in_app
Adani Green Energy Twenty Six B Limited -PSS3,False,,True,duplicated_phone,word_only_not_in_app
Adani Hazira Port Limited-PSS3,False,,True,duplicated_phone,word_only_not_in_app
Adani Hybrid Energy Jaisalmer Five Limited -PSS4,False,,True,duplicated_phone,word_only_not_in_app
Adani Ports And Special Economic Zone Limited -PSS3,False,,True,duplicated_phone,word_only_not_in_app
Adani Ports And Special Economic Zone Limited -PSS4,False,,True,duplicated_phone,word_only_not_in_app
Adani Power (Mundra) Limited,False,,True,duplicated_phone,word_only_not_in_app
Adani Power Limited - Raipur,False,,True,duplicated_phone,word_only_not_in_app
"Adani Power Limited, Tiroda",False,,True,duplicated_phone,word_only_not_in_app
Adani Renewable Energy Fifty Five Limited - PSS3,False,,True,duplicated_phone,word_only_not_in_app
Adani Renewable Energy Fifty Seven Limited PSS-13,False,,True,duplicated_phone,word_only_not_in_app
Adani Renewable Energy Fifty Six Limited – PSS4,False,,True,duplicated_phone,word_only_not_in_app
Adani Renewable Energy Fifty Six Limited – PSS9,False,,True,duplicated_phone,word_only_not_in_app
Adani Renewable Energy Forty Eight Limited-PSS9,False,,True,duplicated_phone,word_only_not_in_app
Adani Renewable Energy Forty One Limited - PSS3,False,,True,duplicated_phone,word_only_not_in_app
Adani Renewable Energy Forty One Limited PSS-13,False,,True,duplicated_phone,word_only_not_in_app
Adani Renewable Energy Forty One Limited – PSS4,False,,True,duplicated_phone,word_only_not_in_app
Adani Renewable Energy Holding Four Limited-PSS1,False,,True,duplicated_phone,word_only_not_in_app
Adani Solar Energy Jodhpur Six Private Limited- PSS9,False,,True,duplicated_phone,word_only_not_in_app
Adani Wind Energy Kutch Five Limited,False,,True,duplicated_phone,word_only_not_in_app
Adani Wind Energy Kutch Four Limited,False,,True,duplicated_phone,word_only_not_in_app
Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL,False,,True,duplicated_phone,word_only_not_in_app
Adani Wind Energy Kutch Three Limited,False,,True,duplicated_phone,word_only_not_in_app
Adani Wind Energy MP One Private Limited,False,,True,duplicated_phone,word_only_not_in_app
Alfanar Energy Private Limited,False,,True,duplicated_phone,word_only_not_in_app
Alfanar Netra Wind Private Limited,False,,True,duplicated_phone,word_only_not_in_app
Ambuja Cements Limited -PSS-4,False,,True,duplicated_phone,word_only_not_in_app
Ambuja Cements Limited-PSS-3,False,,True,duplicated_phone,word_only_not_in_app
Arcelormittal Nippon Steel India Limited,False,,True,duplicated_phone,word_only_not_in_app
Arinsun Clean Energy Private Limited,False,,True,duplicated_phone,word_only_not_in_app
Athena Jaipur Solar Power Private Limited,False,,True,duplicated_phone; garbled_field,word_only_not_in_app
Avaada Gjlakadiya Private Limited,False,,True,duplicated_phone,word_only_not_in_app
Avikaran Solar India Private Limited,False,,True,garbled_field,word_only_not_in_app
Bargi,False,,True,duplicated_phone,word_only_not_in_app
Beempow Energy Private Limited,False,,True,garbled_field,word_only_not_in_app
Bharat Aluminum Company Limited,False,,True,duplicated_phone,word_only_not_in_app
Bhira,False,,True,duplicated_phone,word_only_not_in_app
Birshingpur,False,,True,duplicated_phone,word_only_not_in_app
Chhattisgarh State Load Despatch Centre,True,address_in_name,True,address_in_name; duplicated_phone; garbled_field,originated_in_word
Continuum Power Trading Private Limited,False,,True,garbled_field,word_only_not_in_app
DB Power Limited,False,,True,duplicated_phone; numbered_prefix,word_only_not_in_app
DGEN Mega Power Project,False,,True,duplicated_phone,word_only_not_in_app
Daman And Diu,False,,True,duplicated_phone,word_only_not_in_app
Dhariwal Infrastructure Limited,False,,True,duplicated_phone,word_only_not_in_app
Dongamouha Captive Power Plant (DCPP),False,,True,duplicated_phone,word_only_not_in_app
"Eastern Regional Load Despatch Centre , Kolkata",False,,True,duplicated_phone,word_only_not_in_app
Electro Solaire Private Limited,False,,True,garbled_field,word_only_not_in_app
